,magnitude,depth
0,2.47,32.2400016784668
1,4.8,6.95
2,5.0,552.59
3,2.85,16.95
4,4.7,10.0
5,5.8,488.06
6,5.1,10.0
7,4.6,517.13
8,4.2,10.0
9,2.69,7.0
10,5.1,67.36
11,4.5,10.0
12,4.3,28.7
13,4.12,114.0
14,2.7,6.979931641
15,4.5,10.0
16,4.5,25.31
17,4.2,10.0
18,4.1,264.67
19,2.68,36.3600006103516
20,2.6,9.5
21,4.4,10.0
22,4.9,10.0
23,2.78,4.18
24,4.3,455.27
25,2.97,8.0
26,5.1,10.0
27,4.2,10.0
28,2.7,17.55
29,4.3,35.0
30,5.1,10.0
31,4.7,78.84
32,5.1,19.38
33,4.2,40.44
34,2.51,33.9900016784668
35,5.4,10.0
36,3.9,89.16
37,4.8,10.0
38,4.9,10.0
39,3.0,63.1
40,4.7,211.49
41,2.7,20.5
42,3.14,7.0
43,4.4,417.52
44,4.6,10.0
45,4.6,600.77
46,5.1,114.7
47,4.6,243.23
48,5.0,10.0
49,2.61,4.3
50,2.53,10.28
51,4.9,10.0
52,4.6,10.0
53,4.8,10.0
54,3.29,8.06
55,3.7,30.88
56,4.6,77.63
57,3.27,31.0
58,4.9,10.0
59,2.73,33.09
60,2.62,33.35
61,5.3,10.0
62,4.5,83.17
63,2.46000004,36.0
64,2.9,6.2
65,3.3,10.0
66,2.82,12.0
67,4.8,23.0
68,4.8,10.0
69,4.6,203.78
70,2.72,6.0
71,4.3,100.52
72,4.1,10.0
73,4.6,10.0
74,4.6,282.89
75,3.21,-1.36
76,5.1,10.0
77,4.9,70.27
78,2.51,4.0
79,5.0,10.0
80,2.7,186.5
81,2.53,1.68
82,5.2,10.0
83,2.8,89.3
84,4.5,575.78
85,5.1,10.0
86,2.5,6.74855957
87,2.9,9.0
88,4.4,10.0
89,4.3,10.0
90,5.0,10.0
91,3.8,69.49
92,5.0,10.0
93,2.67,8.0
94,2.5,6.054443359000001
95,4.6,59.19
96,4.4,10.0
97,3.3,63.8
98,5.5,10.0
99,2.9,0.0
100,5.2,102.46
101,2.7,37.2
102,4.9,10.0
103,4.2,121.9
104,5.4,10.0
105,4.8,10.0
106,4.5,74.36
107,4.8,168.16
108,3.15,6.0
109,2.93,25.0
110,2.5,25.0
111,4.8,10.0
112,5.0,10.0
113,4.9,10.0
114,2.52,5.0
115,3.15,10.47
116,5.0,10.0
117,2.97,5.0
118,2.6,67.8
119,5.0,10.0
120,2.89,15.0
121,4.5,10.0
122,3.06,4.0
123,4.9,10.0
124,4.3,10.0
125,4.9,10.0
126,4.9,10.0
127,4.7,10.0
128,5.2,10.0
129,5.8,10.0
130,3.6,22.0
131,5.2,10.0
132,5.2,10.0
133,5.3,10.0
134,2.48,1.2
135,4.9,10.0
136,3.44,115.0
137,4.8,225.17
138,2.47,16.0
139,4.4,524.27
140,2.7,12.4
141,5.2,10.0
142,2.65,7.0
143,4.7,10.0
144,4.7,36.05
145,2.58,9.34
146,4.6,467.75
147,3.57,51.0
148,5.0,10.0
149,3.39,46.0
150,4.6,10.0
151,2.64,7.41
152,4.6,10.0
153,5.4,10.0
154,2.68,10.26
155,2.6,10.0
156,4.9,10.0
157,4.5,51.76
158,4.0,135.79
159,4.8,10.0
160,4.2,60.46
161,4.0,135.66
162,5.4,10.0
163,5.2,10.0
164,2.9,65.9
165,5.1,10.0
166,2.85,11.0
167,5.1,10.0
168,2.81,14.0
169,3.2,39.5
170,5.0,10.0
171,5.2,10.0
172,4.8,187.41
173,5.4,10.0
174,4.7,35.0
175,4.9,10.0
176,5.1,10.0
177,4.5,10.0
178,4.4,10.0
179,2.48,6.03
180,5.0,10.0
181,2.48,35.8800010681152
182,2.5,7.2
183,2.62,10.0
184,5.6,10.0
185,4.7,127.73
186,5.2,10.0
187,2.74,12.0
188,4.1,10.0
189,5.5,10.0
190,4.2,54.25
191,5.0,10.0
192,4.4,10.0
193,4.4,10.0
194,4.5,10.0
195,4.0,10.0
196,3.2,19.0
197,5.2,10.0
198,5.2,10.0
199,5.4,10.0
200,5.0,10.0
201,4.9,10.0
202,5.2,85.99
203,4.7,10.0
204,5.0,10.0
205,5.2,10.0
206,5.0,10.0
207,4.3,10.0
208,5.0,10.0
209,5.5,10.0
210,5.2,10.0
211,4.7,10.0
212,5.2,10.0
213,5.2,10.0
214,4.7,10.0
215,4.7,10.0
216,3.24,-3.35
217,5.1,10.0
218,5.3,18.91
219,4.9,10.0
220,4.1,237.6
221,4.9,10.0
222,2.9,0.0
223,5.1,10.0
224,4.9,10.0
225,4.4,6.56
226,5.7,10.0
227,5.1,28.52
228,2.9,5.0
229,5.1,10.0
230,2.49,12.0
231,5.5,13.52
232,5.2,10.0
233,4.6,10.0
234,4.9,10.0
235,2.72,8.0
236,5.2,10.0
237,4.7,10.0
238,5.6,10.0
239,5.2,10.0
240,4.4,10.0
241,2.56999993,33.560001373291
242,4.6,102.91
243,4.9,10.0
244,4.7,10.0
245,4.3,211.53
246,4.9,10.0
247,4.6,10.0
248,5.0,10.0
249,6.1,10.0
250,5.4,10.0
251,4.4,42.65
252,4.9,10.0
253,2.6,8.2
254,2.6,102.2
255,5.3,10.0
256,5.4,10.0
257,6.2,10.0
258,4.7,10.0
259,5.7,10.0
260,4.3,494.01
261,2.46,13.0
262,5.0,10.0
263,4.9,10.0
264,3.4,124.8
265,4.5,10.0
266,5.1,10.0
267,4.6,10.0
268,5.5,10.0
269,6.1,10.29
270,5.6,10.0
271,4.8,10.0
272,5.8,10.0
273,2.85,7.44
274,5.5,10.0
275,2.5,10.0
276,5.3,59.17
277,4.5,10.0
278,4.9,10.0
279,4.4,10.0
280,2.8,8.8
281,4.5,35.0
282,4.9,10.0
283,5.5,10.0
284,5.1,10.0
285,4.3,10.0
286,3.4,10.0
287,2.48,34.02
288,5.1,10.0
289,4.3,65.85
290,2.69,0.96
291,4.3,10.0
292,4.5,10.0
293,4.3,143.96
294,5.0,10.0
295,3.4,31.4
296,5.0,10.0
297,5.2,10.0
298,2.58,6.44
299,6.3,13.0
300,4.7,50.89
301,5.1,10.0
302,5.0,10.0
303,5.6,10.0
304,4.8,10.0
305,5.1,10.0
306,5.1,10.0
307,5.1,10.0
308,4.2,10.0
309,2.8,6.4
310,5.3,10.0
311,5.3,10.0
312,5.1,10.0
313,5.0,10.0
314,5.9,11.0
315,5.3,10.0
316,4.9,10.0
317,5.0,10.0
318,5.7,8.0
319,5.7,10.0
320,5.6,10.0
321,5.5,16.0
322,4.6,53.26
323,3.26,6.77
324,2.96,5.0
325,5.2,10.0
326,4.6,10.0
327,4.7,10.0
328,2.5,5.0
329,4.8,10.0
330,5.0,10.0
331,5.0,10.0
332,5.0,10.0
333,5.0,10.0
334,6.2,10.0
335,4.2,126.93
336,4.6,10.0
337,4.7,10.0
338,2.86,2.61
339,5.1,10.0
340,2.7,10.0
341,4.9,10.0
342,4.5,10.0
343,5.0,10.0
344,4.7,10.0
345,5.3,10.0
346,3.0,10.0
347,2.7,9.8
348,4.9,10.0
349,4.4,10.0
350,2.71,11.0
351,3.54,7.83
352,2.65,8.0
353,5.9,15.0
354,5.1,10.0
355,2.8,0.1
356,5.6,17.97
357,5.4,10.0
358,3.74,64.0
359,4.9,10.0
360,5.0,10.0
361,4.6,64.41
362,5.1,10.0
363,5.0,10.0
364,2.98,1.69
365,2.6,10.5
366,2.6,119.4
367,4.9,10.0
368,4.7,10.0
369,5.0,10.0
370,5.1,10.0
371,5.3,10.0
372,5.3,10.0
373,5.1,10.0
374,5.2,10.0
375,5.6,10.0
376,5.6,10.0
377,5.6,10.0
378,5.4,10.0
379,5.3,10.0
380,6.3,17.0
381,2.7,1.7
382,2.61,19.33
383,5.1,10.0
384,5.2,10.0
385,3.0,10.0
386,5.3,10.0
387,5.3,10.0
388,4.9,10.0
389,5.0,10.0
390,5.6,10.0
391,5.2,10.0
392,5.2,10.0
393,2.7,9.67
394,5.9,10.0
395,5.5,10.0
396,3.8,31.64
397,5.3,10.0
398,5.1,10.0
399,5.6,10.0
400,5.5,10.0
401,6.1,10.0
402,5.4,10.0
403,2.82,9.0
404,5.6,10.0
405,2.99,21.78
406,3.8,32.99
407,5.4,10.0
408,5.8,10.0
409,5.2,10.0
410,5.7,10.0
411,5.1,10.0
412,5.5,10.0
413,5.4,10.0
414,5.1,10.0
415,5.1,10.0
416,5.6,10.0
417,6.1,10.0
418,5.5,10.0
419,4.6,10.0
420,2.9,10.0
421,5.7,10.0
422,8.1,26.45
423,5.5,10.0
424,4.9,10.0
425,5.1,27.05
426,5.0,10.0
427,5.8,10.0
428,2.9,0.9
429,5.2,36.87
430,5.6,10.0
431,7.4,53.09
432,4.4,10.0
433,4.7,108.43
434,4.6,10.0
435,2.88,20.53
436,6.1,173.3
437,2.5,12.52
438,4.7,10.0
439,4.6,71.5
440,3.09,10.6
441,5.0,10.0
442,5.3,10.0
443,5.4,5.57
444,4.9,10.0
445,4.5,10.0
446,5.1,10.0
447,4.7,10.0
448,4.6,10.0
449,4.6,10.0
450,5.6,10.0
451,5.0,10.0
452,2.59,-0.76
453,4.3,35.0
454,7.3,20.78
455,2.91,20.0
456,2.63,12.0
457,4.7,149.55
458,4.3,49.9
459,2.8,144.1
460,2.6,137.1
461,4.5,41.76
462,4.6,10.0
463,3.1,11.9
464,4.7,10.0
465,4.9,508.01
466,4.8,10.0
467,4.3,321.32
468,4.7,10.0
469,4.4,34.95
470,2.6,10.4
471,4.3,38.77
472,3.9,47.46
473,3.0,12.0
